hero_1,hero_2,games,winrate
75,76,600,0.5166666666666667
75,112,325,0.49230769230769234
76,112,170,0.5
2,8,1965,0.5089058524173028
2,11,2140,0.49065420560747663
2,26,4415,0.4824462061155153
2,110,930,0.521505376344086
8,11,1065,0.460093896713615
8,26,3450,0.4971014492753623
8,110,715,0.4825174825174825
11,26,3650,0.46301369863013697
11,110,885,0.5706214689265536
26,110,1560,0.5352564102564102
7,14,2860,0.5052447552447552
7,20,725,0.6068965517241379
7,73,1215,0.4897119341563786
7,87,655,0.48091603053435117
14,20,1940,0.5231958762886598
14,73,3065,0.5057096247960848
14,87,1680,0.49107142857142855
20,73,690,0.5217391304347826
20,87,375,0.6
73,87,890,0.5112359550561798
12,14,2135,0.5456674473067916
12,35,1370,0.551094890510949
12,75,795,0.5408805031446541
14,75,3045,0.5336617405582923
15,35,1270,0.44881889763779526
15,75,905,0.47513812154696133
35,75,2225,0.5258426966292135
22,36,1650,0.5575757575757576
22,63,1745,0.5100286532951289
22,110,810,0.5493827160493827
22,126,915,0.5027322404371585
36,110,880,0.5454545454545454
36,126,460,0.43478260869565216
63,110,745,0.5167785234899329
63,126,905,0.4861878453038674
110,126,455,0.45054945054945056
7,40,2220,0.46396396396396394
7,78,130,0.5
7,90,565,0.4778761061946903
7,114,920,0.4782608695652174
40,78,265,0.4339622641509434
40,90,645,0.4418604651162791
40,114,2060,0.4393203883495146
78,90,75,0.6666666666666666
78,114,145,0.5862068965517241
90,114,410,0.524390243902439
25,26,3250,0.5030769230769231
25,44,1185,0.45569620253164556
25,101,1455,0.44673539518900346
25,104,2650,0.5
26,44,2560,0.390625
44,101,1085,0.4838709677419355
44,104,1575,0.41904761904761906
47,59,460,0.4782608695652174
47,91,200,0.4
47,110,405,0.5555555555555556
47,136,295,0.5254237288135594
59,91,315,0.5714285714285714
59,110,470,0.574468085106383
59,136,245,0.6122448979591837
91,110,225,0.5333333333333333
91,136,705,0.46099290780141844
110,136,275,0.43636363636363634
26,27,2370,0.4810126582278481
26,29,4065,0.5375153751537516
26,54,5140,0.519455252918288
26,80,645,0.5503875968992248
27,29,2465,0.5578093306288032
27,54,3320,0.5090361445783133
27,80,475,0.5473684210526316
29,54,2860,0.541958041958042
29,80,235,0.46808510638297873
54,80,340,0.5882352941176471
26,30,2845,0.507908611599297
26,69,3700,0.48243243243243245
26,113,1000,0.475
30,69,2510,0.549800796812749
30,113,815,0.5705521472392638
30,114,1415,0.4734982332155477
69,113,470,0.4787234042553192
113,114,245,0.4489795918367347
3,14,565,0.5486725663716814
3,39,400,0.5375
3,41,275,0.4
3,85,95,0.47368421052631576
14,41,2825,0.5132743362831859
14,85,1570,0.49363057324840764
39,41,1355,0.5350553505535055
39,85,1270,0.5196850393700787
41,85,730,0.5068493150684932
17,18,295,0.5084745762711864
17,31,1095,0.4977168949771689
17,42,1300,0.5538461538461539
17,123,710,0.44366197183098594
18,31,550,0.5454545454545454
18,42,435,0.5632183908045977
18,123,335,0.582089552238806
31,123,815,0.5398773006134969
42,123,1310,0.5648854961832062
1,15,710,0.528169014084507
1,82,440,0.5113636363636364
1,97,1165,0.39914163090128757
1,100,795,0.48427672955974843
15,82,290,0.5517241379310345
15,97,575,0.5565217391304348
15,100,530,0.46226415094339623
82,97,365,0.6575342465753424
82,100,275,0.5818181818181818
97,100,585,0.5042735042735043
56,75,595,0.4957983193277311
56,86,1115,0.5381165919282511
56,105,810,0.5185185185185185
75,86,1620,0.5185185185185185
75,105,765,0.5555555555555556
1,16,810,0.4444444444444444
1,36,1610,0.5838509316770186
1,62,565,0.5221238938053098
1,121,600,0.45
16,36,790,0.4620253164556962
16,62,360,0.5416666666666666
16,121,370,0.5945945945945946
36,62,750,0.47333333333333333
36,121,610,0.5163934426229508
62,121,120,0.5833333333333334
22,25,1400,0.5285714285714286
22,65,370,0.6216216216216216
22,84,2065,0.5254237288135594
22,93,2615,0.5258126195028681
25,65,300,0.55
25,84,2010,0.5024875621890548
25,93,2315,0.5356371490280778
65,84,400,0.5375
65,93,550,0.5818181818181818
84,93,3035,0.5024711696869851
1,9,870,0.5402298850574713
1,88,795,0.48427672955974843
9,74,1075,0.4418604651162791
9,88,415,0.5180722891566265
9,97,645,0.4496124031007752
74,88,960,0.4635416666666667
88,97,365,0.5205479452054794
17,26,2175,0.45057471264367815
17,37,750,0.5133333333333333
17,82,115,0.391304347826087
17,138,465,0.46236559139784944
26,37,1430,0.47202797202797203
26,82,945,0.5925925925925926
26,138,1540,0.474025974025974
37,82,390,0.5384615384615384
37,138,605,0.35537190082644626
82,138,205,0.5365853658536586
28,70,655,0.5190839694656488
28,71,1795,0.5515320334261838
28,90,395,0.5949367088607594
28,101,1125,0.5022222222222222
70,71,1570,0.46496815286624205
70,90,450,0.5333333333333333
71,90,1065,0.5352112676056338
71,101,2465,0.5192697768762677
90,101,445,0.5056179775280899
27,36,2490,0.5040160642570282
27,104,3210,0.4781931464174455
36,54,2525,0.504950495049505
36,82,310,0.6290322580645161
54,82,580,0.6293103448275862
54,104,3080,0.525974025974026
82,104,680,0.5588235294117647
34,42,665,0.48120300751879697
34,84,565,0.4424778761061947
34,89,130,0.46153846153846156
34,100,255,0.45098039215686275
42,84,2700,0.5259259259259259
42,89,330,0.48484848484848486
42,100,835,0.49700598802395207
84,89,370,0.4189189189189189
